Myanmar,English
လက်ကိုင်ဖုန်းက သေးပြီး အရမ်း အဆင်ပြေတယ်။,Mobile phones are small and very useful
ပန်းအိုးကို စားပွဲပေါ်မှာ ထားလိုက်တယ်။,I put a vase on the table
အဘိဓာန်ကို သုံးပြီး ဂျပန်စာ လေ့လာတယ်။,I study Japanese by looking at the dictionary
ဒီနေ့ တနင်္ဂနွေနေ့ဆိုပေမဲ့ အလုပ် ရှိတယ်။,Although today is a Sunday I have work
ဒီနေရာက ဂျပန်မှာ နာမည်အကြီးဆုံးနေရာ။,This place is a very famous place in Japan
မနက်က တီဗွီသတင်း ကြည့်ခဲ့တယ်။,I watched the news on TV this morning
အင်း၊ ဟုတ်တယ်။,Yes that is true
မစ္စတာတာနာခါရဲ့ မွေးရပ်က တိုကျိုပါ။,Mr Tanaka was born in Tokyo
မစ္စတာဟယရှိရဲ့ အဘွားက မျက်မှန်တပ်ထားတယ်။,Mr Hayashis grandmother wears glasses
မနက်တိုင်း ပေါင်မုန့် စားပြီး နွားနို့ သောက်တယ်။,I eat bread and drink milk every morning
အိမ်စာတွေ အားလုံး ပြီးပြီ။,I finished all of my homework
စာသင်ချိန်မှာ ဘေးနားကလူနဲ့ စကားမပြောရဘူး။,You may not talk to the person next to you during class
ဆေးရုံက ဘူတာရဲ့ အခြားတစ်ဖက်မှာ။,The hospital is across the station
ဂျပန်က အစားအသောက်တွေက စားလို့ကောင်းပေမဲ့ ဈေးကြီးတယ်။,Japanese food is delicious but expensive
ရှေ့တစ်ပတ် ပိတ်တုန်းက ဘာမှ မလုပ်ဘူး။,I did not do anything during last weeks vacation
ခြံထဲမှာ ကား မရှိဘူး။ အမေ အပြင်ထွက်သွားတယ် ထင်တယ်။,The car is not in the yard It looks like my mother is out
ပင်ပန်းလို့ ထိုင်ပြီး အနားယူမယ်။,I am tired so I will sit and rest
မစ္စတာခိမုရက ကျွန်တော့်ကို ဓာတ်ပုံ ပြတယ်။,Ms Kimura showed me the picture
အိမ်အဝင်မှာ ပန်းအိုး ထားထားတယ်။,There is a vase in the lobby
စာသင်ချိန်မှာ ဆရာ့စကားကို သေချာ နားထောင်ရမယ်။,We must listen to the teacher carefully during class
သန်ဘက်ခါ ပင်လယ်မှာ ရေသွားကူးမယ်လို့ စိတ်ကူးထားတယ်။,I am thinking of going to the beach to swim the day after tomorrow
အခု ဘယ်နှနာရီ ဘယ်နှမိနစ် ရှိပြီလဲ။,What time is it now
အိမ်အဝင်မှာ ဖိနပ်ကို ချွတ်တယ်။,We take off our shoes at the entrance
သံရုံး သွားမှာဆိုရင် နောက်ဘူတာမှာ ဆင်းရမယ်။,If you are going to the embassy you need to get off at the next station
မနက်ဖန် ရာသီဥတုပူမှာမို့လို့ ရေကူးကန်မှာ ရေသွားကူးမယ်လို့ စိတ်ကူးထားတယ်။,It is going to get hot tomorrow so I was thinking about swimming in the pool
ကြက်သားက ဈေးပေါပေမဲ့ အမဲသားက ပိုစားလို့ကောင်းတယ်။,Chicken is cheap but beef tastes better
အမှောင်ထဲမှာ စာဖတ်ရင် မျက်စိပျက်တတ်တယ်။,Your eyes will go bad if you read books in the dark
လေးရက်နေ့အပြီး အင်္ဂလိပ်လိုစာစီစာကုံး မရေးလို့မဖြစ်ဘူး။,I must write an essay in English by the fourth
နောက်လဆန်း နိုင်ငံကို ပြန်မယ်။,I will go back to my country at the beginning of next month
ဘဏ်မှာ ငွေ သွားလွှဲမယ်။,I will go to the bank to transfer money
အဲဒီကတံခါးကို ဖွင့်လို့မရဘူး။,You cannot open that door
ပိုက်ဆံ မရှိဘူး။,I do not have any money
စာအိတ်မှာ တံဆိပ်ခေါင်း ကပ်တယ်။,I will put a stamp on the envelope
အိမ်အဝင်နဲ့ လျှောက်လမ်းတွေကို သန့်ရှင်းရေးလုပ်တယ်။,I will clean the lobby and hallway
ပေါင်မုန့် တစ်ဝက် စားလိုက်တယ်။,I ate half a loaf of bread
စာသင်ခန်းမှာ ကျောင်းသား တစ်ယောက် ရှိတယ်။,There is a student in the classroom
