Myanmar,English
သူငယ်ချင်းကို လက်ကိုင်ဖုန်းနံပါတ် ပြောပြလိုက်တယ်။,I gave my mobile phone number to my friend
အမေ့ကို မွေးနေ့လက်ဆောင် ပေးတယ်။,I gave my mother a birthday present
မင်း တော်တော် အလုပ်လုပ်တာပဲနော်။,You really work hard
နံပါတ်တစ်ကနေ နံပါတ်တစ်ဆယ်အထိလူတွေ ဝင်ကြပါ။,People with the numbers one to ten please go inside
စာကြည့်တိုက်မှာ မစ္စတာယာမာဒါနဲ့ အတူတူ စာဖတ်မယ်။,I will study with Mr Yamada at the library
လေယာဉ်ပျံနဲ့ တိုကျိုနဲ့အိုဆာကာကို သွားလိုက်လာလိုက် လုပ်တယ်။,I go back and forth between Tokyo and Osaka by airplane
ဘယ်လိုဖိနပ်မျိုးကို ဝယ်မလဲ။,Which shoes are you going to buy
မစ္စတာယာမာဒါက စာသင်ခန်းရဲ့ အပြင်မှာ ရှိတယ်။,Mr Yamada is outside the classroom
မစ္စတာခိမုရက ချစ်စရာကောင်းတဲ့ပစ္စည်းလေးတွေဆို အရမ်း သဘောကျတယ်။,Ms Matsui loves cute things
နွေဦးရာသီထဲ ဝင်လာပေမဲ့ နွေးမလာသေးဘူး။,Spring has come but it hasnt become warm yet
ဆေးလိပ်သောက်ရင် ကျန်းမာရေး ထိခိုက်တယ်။,It is bad for you to smoke
တနင်္ဂနွေနေ့ဆို ညီလေးက စာအုပ်ဖတ်လိုက် တီဗွီကြည့်လိုက် လုပ်တယ်။,On Sundays my little brother reads books and watches television
ဒီည အရမ်း အေးတယ်။,It is very cold tonight
နောက်နှစ်နှစ်ကျရင် အဲဒီမှာ စာကြည့်တိုက် ဖွင့်မယ် ကြားတယ်။,A library will be built there in two years
အရမ်း ပင်ပန်းတယ်။,I feel very tired
နောက်နှစ် ကျရင် နိုင်ငံခြားကို အလည်သွားမလားလို့ စိတ်ကူးထားတယ်။,I am thinking of travelling abroad next year
မိုး နည်းနည်း အုံ့လာပြီ။,The sky is starting to get cloudy
ကျွန်တော် အဖေ့ကို ပန်း ပေးတယ်။,I gave flowers to my father
ဟိုဆရာရဲ့ အတန်းက စိတ်ဝင်စားဖို့ကောင်းတယ်။,That teachers class is fun
ဟိုလူရဲ့ ခြေထောက်က သွယ်ပြီး ရှည်တယ်။,That person has long skinny legs
ဒီနေ့ ခပ်စောစော အိမ်က ထွက်တယ်။,Today I will leave the house early
နောက်အပတ် အလှပြင်ဆိုင်မှာ ဆံပင် သွားညှပ်မလို့ စိတ်ကူးနေတယ်။,I am thinking of getting my hair cut at the beauty salon next week
ဂျပန်ဘာသာနဲ့ ရေးထားတဲ့ စာအုပ်ကို ဖတ်တယ်။,I will read a book written in Japanese
ရေချိုးခန်းမှာ ကိုယ်လက် သန့်စင်တယ်။,I wash my body in the bathroom
ဆပ်ပြာနဲ့ လက်ကို ဆေးတယ်။,I washed my hands with soap
နှစ်တိုင်း မိသားစုနဲ့ ခရီးထွက်တယ်။,Every year I go on a family trip
စာအိတ်မှာ တံဆိပ်ခေါင်း ကပ်တယ်။,I will put a stamp on the envelope
ဒီနေ့ မနက်ကနေ ညနေအထိ အတန်း ရှိတယ်။,Today we had class from morning until evening
ကျွန်တော် အတန်းတက်ရတာ ပျော်တယ်။,Class is fun for me
ဟုတ်ကဲ့၊ နားလည်ပါပြီ။,Yes all right
ဒီအခန်းက ပြတင်းပေါက် မရှိဘူး။,This room has no window
အမေက ဟင်းချက်ဝါသနာပါတယ်။,My mother likes cooking
